,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,Assets
1063,0,1,1,800000,1700000,4,752,1,7000000
1064,0,0,1,5600000,19100000,14,875,1,44200000
1065,2,0,1,1800000,3600000,4,343,0,12200000
1066,0,1,0,6800000,20800000,20,819,1,63100000
1067,2,1,1,4200000,16800000,2,433,1,21100000
1068,1,0,1,200000,400000,6,768,1,1000000
1069,2,1,1,8500000,31800000,6,714,1,50100000
1070,2,0,1,2800000,10100000,16,531,0,17100000
1071,0,1,1,3600000,8600000,6,529,0,23300000
1072,1,0,0,6200000,19500000,20,448,0,40800000
1073,1,1,0,2700000,10000000,2,584,1,20300000
1074,1,1,0,6800000,22900000,4,501,1,35000000
1075,2,0,0,6300000,24500000,18,848,1,40100000
1076,4,0,0,8800000,19100000,6,586,1,59400000
1077,1,1,0,5900000,13000000,2,386,0,37100000
1078,5,0,1,9800000,37900000,18,301,0,52100000
1079,2,1,0,3300000,8300000,6,653,1,20700000
1080,4,1,1,300000,500000,14,448,0,1700000
1081,1,0,1,4800000,11600000,16,696,1,29100000
1082,1,1,0,7500000,28300000,16,707,1,33800000
1083,2,0,0,8600000,21700000,4,429,0,53200000
1084,4,0,0,8900000,21100000,6,631,1,36400000
1085,5,0,1,9600000,29600000,4,446,1,76200000
1086,0,1,1,7700000,18100000,18,705,1,41300000
1087,3,0,1,7000000,15200000,2,709,1,47500000
1088,4,0,1,7800000,19500000,14,739,1,35700000
1089,3,1,0,5100000,11000000,6,336,0,24800000
1090,4,1,0,9400000,32600000,4,898,1,54400000
1091,4,0,1,600000,2100000,6,558,1,4800000
1092,3,1,0,5100000,13300000,4,589,1,40200000
1093,2,1,1,3800000,14400000,2,301,0,13700000
1094,2,0,1,5300000,21200000,14,516,0,35800000
1095,5,0,0,1100000,3600000,12,315,0,6500000
1096,3,0,0,6400000,14400000,10,546,0,46900000
1097,0,0,1,5100000,14500000,14,559,1,30400000
1098,3,1,1,5300000,16900000,2,350,1,40000000
1099,1,1,0,6700000,18700000,8,583,1,37400000
1100,2,0,0,4000000,9400000,8,874,1,23100000
1101,2,0,1,3900000,11600000,8,808,1,26800000
1102,1,1,1,1600000,4900000,16,487,0,11300000
1103,3,1,0,2700000,7800000,14,870,1,18500000
1104,3,1,0,1400000,3800000,8,840,1,8700000
1105,4,0,1,8000000,19200000,18,682,1,35700000
1106,3,1,1,8200000,28900000,10,668,1,67900000
1107,5,1,1,4800000,10300000,8,781,1,27000000
1108,4,1,0,8100000,19000000,6,375,0,49600000
1109,4,0,0,5900000,14900000,14,857,1,31600000
1110,5,1,1,8100000,32100000,6,823,1,50600000
1111,0,1,0,1400000,5000000,8,686,1,8400000
1112,1,1,0,1600000,6300000,2,721,1,9700000
1113,4,1,0,4600000,9400000,18,545,0,21000000
1114,1,0,0,2900000,8900000,6,523,0,18000000
1115,2,1,1,8600000,24900000,20,607,1,58400000
1116,4,0,0,3800000,14900000,20,428,0,24700000
1117,0,0,0,8200000,20300000,4,666,1,57000000
1118,3,1,0,3200000,10100000,20,704,1,21100000
1119,0,0,1,8100000,23800000,10,794,1,50400000
1120,1,1,1,9800000,23300000,12,430,0,60200000
1121,0,0,0,200000,500000,20,615,1,1500000
1122,0,0,0,6600000,14100000,20,360,0,45100000
1123,0,0,0,9100000,18300000,14,458,0,59400000
1124,2,0,0,5500000,20400000,12,887,1,33800000
1125,4,0,0,7200000,27400000,8,735,1,57200000
1126,1,0,0,2400000,5600000,16,379,0,14900000
1127,4,1,0,9600000,25500000,20,544,0,50300000
1128,1,1,1,5800000,16700000,12,721,1,35500000
1129,4,0,0,2300000,6000000,8,676,1,13400000
1130,1,0,0,300000,1200000,4,342,1,2200000
1131,0,0,0,9900000,27000000,16,566,1,69200000
1132,2,0,0,3500000,14000000,2,355,1,25000000
1133,2,1,0,4800000,18500000,20,605,1,31700000
1134,2,0,0,1600000,5200000,16,525,0,10400000
1135,5,1,1,800000,2500000,12,403,0,4500000
1136,1,1,1,9000000,33500000,18,727,1,62700000
1137,1,1,0,8300000,28900000,12,529,0,60500000
1138,4,1,0,2800000,6100000,18,415,0,16800000
1139,1,1,1,6400000,17300000,10,879,1,34700000
1140,2,0,1,6000000,12600000,16,649,1,39100000
1141,0,1,0,2900000,9800000,16,395,0,20700000
1142,0,1,0,6500000,24100000,20,488,0,41900000
1143,1,1,1,200000,400000,8,569,1,1400000
1144,1,0,0,8400000,24600000,14,817,1,54400000
1145,1,1,1,6100000,17800000,20,706,1,48100000
1146,2,1,1,8000000,31200000,8,553,1,41600000
1147,5,0,1,900000,1800000,14,464,0,5100000
1148,2,1,0,7300000,20000000,6,729,1,50800000
1149,4,0,1,3700000,7400000,12,363,0,26500000
1150,2,1,0,5200000,17200000,12,565,1,31100000
1151,1,1,0,7200000,21000000,14,421,0,41500000
1152,0,0,1,9400000,34200000,10,512,0,67600000
1153,3,0,1,3400000,12400000,2,730,1,23200000
1154,0,1,0,600000,2300000,8,627,1,4800000
1155,0,0,1,3300000,10000000,16,434,0,24100000
1156,2,1,1,5900000,14300000,2,410,0,37300000
1157,3,0,0,1300000,3600000,16,624,1,9900000
1158,4,1,1,5700000,16900000,4,656,1,50800000
1159,2,0,0,7700000,27300000,16,758,1,45800000
1160,4,0,1,7000000,23500000,18,336,0,52000000
1161,5,1,0,8100000,21900000,18,378,0,34400000
1162,1,1,1,1900000,4200000,4,620,1,15900000
1163,2,1,0,4500000,9100000,18,593,1,15400000
1164,0,0,1,9600000,34000000,12,710,1,80000000
1165,1,0,1,5400000,20700000,8,753,1,25300000
1166,1,0,1,7800000,27200000,16,454,0,48000000
1167,1,1,1,8200000,19100000,8,619,1,67500000
1168,2,1,0,8900000,28500000,6,367,0,69600000
1169,1,1,0,1400000,3100000,20,384,0,7400000
1170,2,1,0,1700000,5900000,16,610,1,8400000
1171,0,1,0,5300000,19500000,12,802,1,31500000
1172,3,1,0,6500000,25200000,10,858,1,48400000
1173,2,1,0,5900000,14000000,8,599,1,38700000
1174,4,1,1,9800000,27000000,2,395,0,54400000
1175,3,1,1,7700000,16200000,6,380,0,55500000
1176,1,1,0,7900000,27100000,10,803,1,58600000
1177,4,1,0,3500000,8900000,20,809,1,25500000
1178,4,0,0,2400000,6600000,2,722,1,18000000
1179,5,1,0,9900000,35700000,10,392,0,64400000
1180,0,1,0,3900000,14500000,8,545,0,22600000
1181,2,0,1,7300000,28500000,10,799,1,44700000
1182,0,1,1,6400000,21900000,12,727,1,54800000
1183,4,1,0,7100000,19800000,18,530,0,38500000
1184,2,0,0,8800000,19000000,14,637,1,60800000
1185,5,1,0,7400000,21000000,4,561,1,55400000
1186,2,0,0,4400000,12000000,20,421,0,31100000
1187,3,1,1,8600000,30300000,14,459,0,49000000
1188,3,0,0,6900000,26000000,14,828,1,41100000
1189,4,1,0,9600000,27500000,20,679,1,75000000
1190,2,1,1,8100000,25700000,8,455,0,63100000
1191,0,0,0,2600000,9400000,18,879,1,11600000
1192,3,1,1,9300000,26100000,14,636,1,66900000
1193,2,0,1,2100000,5600000,16,426,0,9000000
1194,4,0,1,9000000,21500000,14,508,0,71300000
1195,3,0,1,7000000,19200000,4,768,1,49200000
1196,3,0,0,2200000,6400000,20,667,1,21400000
1197,5,1,1,7500000,28200000,2,440,1,44400000
1198,1,1,1,8300000,16800000,2,366,0,60400000
1199,2,0,0,300000,600000,2,383,0,2400000
1200,0,0,1,300000,800000,4,603,1,1800000
1201,3,1,0,3900000,14900000,4,728,1,29100000
1202,0,0,0,6600000,20300000,6,549,0,44600000
1203,0,1,0,4100000,10700000,8,855,1,26500000
1204,5,1,1,1800000,5300000,12,461,0,11500000
1205,3,0,1,7000000,16100000,16,379,0,40200000
1206,2,0,1,5100000,13700000,6,559,1,35400000
1207,1,0,1,300000,600000,8,816,1,2200000
1208,4,0,1,4300000,11400000,2,560,1,26100000
1209,0,1,1,3200000,12000000,14,645,1,22100000
1210,4,0,1,4200000,11500000,6,551,1,34500000
1211,0,0,1,9600000,22900000,8,515,0,60100000
1212,4,1,0,1300000,3600000,10,657,1,9100000
1213,3,0,0,2400000,9300000,2,682,1,14200000
1214,0,1,0,600000,1600000,10,588,1,3100000
1215,5,1,1,9600000,38000000,10,359,0,63300000
1216,0,1,0,400000,1200000,4,766,1,2700000
1217,4,1,0,5900000,19900000,14,469,0,46300000
1218,0,1,1,700000,1400000,10,618,1,3700000
1219,0,0,1,8600000,17700000,20,711,1,60200000
1220,0,1,1,9000000,34000000,4,549,1,43300000
1221,3,1,1,5100000,20400000,6,754,1,23700000
1222,4,0,1,500000,1500000,6,461,0,3700000
1223,2,1,0,1600000,3800000,10,837,1,12000000
1224,0,1,1,9800000,23900000,14,459,0,42700000
1225,4,1,0,7800000,29700000,20,614,1,55800000
1226,4,0,0,6500000,24000000,16,373,0,33000000
1227,5,1,1,7500000,26500000,12,512,0,49100000
1228,4,1,1,8900000,23400000,18,781,1,50300000
1229,4,1,1,1800000,5800000,14,305,0,9500000
1230,1,0,1,7600000,27800000,6,447,0,33000000
1231,4,1,1,1200000,4600000,6,757,1,8400000
1232,5,1,1,2700000,10400000,2,723,1,15200000
1233,1,0,1,4600000,10900000,12,463,0,19900000
1234,2,0,0,6900000,18700000,10,699,1,44900000
1235,4,1,1,8400000,25200000,2,308,1,55600000
1236,0,1,0,300000,500000,18,702,1,2000000
1237,2,0,1,9500000,37500000,4,456,1,74000000
1238,3,1,1,1900000,5900000,8,651,1,10500000
1239,3,0,0,4200000,14500000,20,840,1,23900000
1240,4,1,1,2200000,7900000,18,848,1,16900000
1241,5,1,1,7100000,19700000,4,727,1,50000000
1242,4,1,0,3500000,11600000,10,335,0,24100000
1243,5,0,0,400000,800000,18,304,0,3200000
1244,2,1,1,8800000,34400000,2,712,1,58200000
1245,0,0,0,1800000,6600000,10,737,1,14500000
1246,1,1,1,7600000,29300000,14,690,1,57000000
1247,1,1,1,1000000,3200000,4,888,1,7000000
1248,2,0,1,8200000,27200000,10,839,1,47100000
1249,5,0,1,3600000,12400000,8,333,0,24500000
1250,5,1,0,9400000,23700000,18,862,1,53000000
1251,5,0,0,2600000,9100000,4,309,1,17100000
1252,5,0,0,9500000,30700000,10,823,1,63400000
1253,0,1,1,3500000,11700000,14,649,1,19600000
1254,5,0,1,9800000,35700000,10,726,1,71500000
1255,4,1,0,800000,3100000,18,712,1,4100000
1256,0,0,0,9700000,37300000,20,701,1,62900000
1257,3,1,0,6200000,21300000,12,655,1,42300000
1258,1,0,1,4400000,16600000,18,385,0,24600000
1259,2,1,0,1800000,3800000,4,777,1,13800000
1260,3,1,0,1700000,5300000,14,696,1,6300000
1261,3,1,0,3900000,14100000,16,496,0,21300000
1262,2,1,1,2200000,7900000,6,659,1,16200000
1263,3,0,1,6300000,17700000,2,542,0,39400000
1264,2,0,0,2200000,8700000,18,729,1,16100000
1265,1,1,0,8100000,28400000,6,744,1,60300000
1266,4,0,0,6800000,17000000,2,749,1,58300000
1267,0,1,0,4700000,14800000,20,755,1,36400000
1268,3,1,1,2200000,5300000,2,506,0,11900000
1269,3,1,1,3500000,13000000,6,391,0,27200000
1270,1,0,1,3500000,11600000,10,898,1,19300000
1271,5,0,0,500000,1500000,12,527,0,2000000
1272,5,0,0,9900000,35800000,20,470,0,81700000
1273,1,1,0,8400000,25000000,12,694,1,50900000
1274,1,1,0,5000000,18800000,14,325,0,35900000
1275,4,0,1,5500000,13400000,10,880,1,23800000
1276,5,1,1,3000000,11900000,14,459,0,26700000
1277,3,0,1,9400000,21400000,10,323,0,61500000
1278,4,1,0,7600000,29000000,8,739,1,61100000
1279,0,0,1,5500000,16300000,10,724,1,31500000
1280,1,1,0,3100000,7400000,18,487,0,23300000
1281,3,1,0,7700000,27700000,4,439,1,54700000
1282,2,1,0,9800000,25400000,2,655,1,53700000
1283,3,0,0,3200000,9200000,14,443,0,16100000
1284,2,1,0,700000,2600000,20,489,0,3600000
1285,4,0,1,3100000,8600000,14,427,0,20500000
1286,0,1,1,4500000,10500000,20,417,0,27200000
1287,5,0,1,8900000,24800000,18,842,1,49300000
1288,3,0,0,5900000,23200000,2,307,1,52900000
1289,2,0,0,1500000,4500000,18,428,0,12400000
1290,4,0,1,6300000,15200000,16,415,0,45900000
1291,3,0,1,6500000,18200000,20,405,0,41200000
1292,4,1,0,8000000,31500000,18,683,1,57900000
1293,1,1,1,3300000,10600000,14,742,1,13800000
1294,4,0,0,3900000,10000000,10,530,0,25300000
1295,3,1,0,1600000,3500000,10,844,1,13500000
1296,2,0,1,3900000,13900000,18,715,1,22600000
1297,3,1,1,8000000,26300000,12,476,0,53700000
1298,2,1,0,2200000,4800000,6,721,1,11000000
1299,4,0,0,7600000,30300000,12,339,0,56400000
1300,5,0,1,2700000,6800000,6,461,0,16400000
1301,2,1,1,6300000,23200000,12,556,1,44800000
1302,3,0,0,7700000,18700000,8,483,0,55500000
1303,2,1,0,4500000,17200000,18,406,0,27500000
1304,2,1,1,9400000,24800000,14,513,0,87100000
1305,0,0,0,4600000,12600000,16,574,1,28300000
1306,0,1,1,5200000,15700000,6,692,1,29100000
1307,5,1,1,8000000,29800000,18,867,1,63800000
1308,1,0,1,9900000,38500000,2,875,1,49200000
1309,4,1,1,8500000,18600000,10,597,1,52400000
1310,2,1,1,4900000,12000000,20,513,0,45400000
1311,3,1,1,7000000,24200000,2,354,1,49000000
1312,2,0,0,9600000,25900000,18,647,1,68800000
1313,1,1,0,9700000,23700000,6,875,1,74400000
1314,1,1,0,6200000,14300000,20,819,1,40200000
1315,4,0,1,4100000,9600000,10,521,0,38000000
1316,0,1,1,6100000,19900000,20,761,1,28000000
1317,0,1,0,700000,1900000,18,572,1,4700000
1318,3,1,0,6400000,24100000,12,571,1,51200000
1319,4,1,1,3800000,7800000,20,891,1,29200000
1320,1,0,0,4900000,14800000,12,895,1,40300000
1321,2,1,0,2100000,6600000,20,580,1,16200000
1322,2,1,0,6200000,23400000,8,605,1,51800000
1323,4,0,0,1600000,5100000,8,705,1,10200000
1324,1,0,1,1300000,5000000,20,423,0,7200000
1325,5,0,1,7300000,22500000,2,846,1,40500000
1326,2,0,0,2100000,5000000,4,542,0,11000000
1327,5,0,0,600000,2400000,18,631,1,3900000
1328,4,1,0,7000000,24500000,18,318,0,25900000
1329,1,0,1,3000000,6800000,10,541,0,25100000
1330,1,1,0,900000,2900000,20,782,1,5800000
1331,2,1,0,9600000,35000000,2,888,1,62800000
1332,0,1,0,1500000,3600000,14,747,1,5800000
1333,0,1,1,5000000,18900000,6,641,1,39100000
1334,3,1,1,500000,1700000,4,640,1,2600000
1335,4,0,0,7600000,28100000,12,324,0,52000000
1336,4,1,0,5500000,21200000,20,359,0,34500000
1337,0,0,1,6600000,23300000,12,338,0,31400000
1338,0,1,0,1400000,3200000,14,384,0,9300000
1339,5,0,1,8800000,26600000,16,545,0,73700000
1340,5,0,0,6200000,24200000,18,610,1,45900000
1341,2,1,1,8300000,27900000,18,840,1,44400000
1342,3,0,0,2400000,8100000,6,630,1,19400000
1343,1,1,0,9100000,31200000,4,508,1,63400000
1344,0,0,1,9500000,34900000,4,535,1,54500000
1345,1,1,0,1200000,3400000,20,717,1,8000000
1346,2,1,1,7700000,19300000,8,735,1,37300000
1347,5,1,1,7800000,22000000,20,528,0,44200000
1348,0,1,1,9400000,20000000,4,350,0,46600000
1349,0,0,0,1700000,5700000,12,422,0,11900000
1350,5,1,0,4000000,13700000,6,496,0,20800000
1351,4,0,0,4200000,15500000,18,794,1,23600000
1352,2,1,0,2400000,7700000,6,719,1,16000000
1353,3,0,1,2700000,6100000,14,630,1,19600000
1354,3,0,1,600000,1800000,4,843,1,3800000
1355,2,1,0,4600000,15600000,2,764,1,31000000
1356,3,1,0,7200000,17700000,4,662,1,46200000
1357,0,0,0,4700000,15500000,16,311,0,33200000
1358,4,0,0,4300000,10100000,2,606,1,26100000
1359,5,1,0,4700000,10200000,16,874,1,36600000
1360,4,0,1,8700000,30000000,4,370,1,79900000
1361,1,1,0,7000000,20500000,10,414,0,53000000
1362,2,0,0,600000,1100000,10,800,1,4600000
1363,1,0,0,6800000,16900000,12,779,1,51800000
1364,1,0,0,6400000,14100000,20,553,1,39800000
1365,4,0,0,7600000,29900000,18,445,0,42800000
1366,3,0,0,9000000,21400000,8,496,0,68000000
1367,0,1,1,2400000,5900000,10,650,1,16400000
1368,3,0,0,6800000,17900000,6,783,1,58900000
1369,5,1,1,3500000,13500000,10,535,0,24400000
1370,4,1,1,8900000,34000000,20,415,0,63000000
1371,0,0,0,6000000,15300000,8,709,1,30500000
1372,3,0,0,700000,2500000,14,819,1,5600000
1373,0,0,1,6800000,17300000,18,841,1,43800000
1374,4,0,1,5300000,10700000,12,700,1,41100000
1375,1,1,1,1400000,4200000,4,881,1,10400000
1376,2,1,1,1400000,4600000,4,804,1,10000000
1377,4,0,0,9200000,21700000,6,653,1,65300000
1378,1,1,1,7900000,29200000,2,663,1,70400000
1379,0,0,0,4500000,17500000,10,495,0,29700000
1380,1,0,0,3800000,9800000,8,335,0,21200000
1381,5,1,1,1500000,4900000,6,618,1,8500000
1382,3,0,0,1200000,2400000,12,480,0,7900000
1383,4,0,0,1700000,4900000,18,843,1,15000000
1384,4,1,0,5200000,14100000,16,483,0,34500000
1385,1,0,0,1600000,5100000,12,548,0,9300000
1386,4,1,1,6600000,16000000,16,379,0,48300000
1387,5,0,1,9400000,26600000,20,771,1,71400000
1388,4,1,1,300000,500000,2,353,0,2300000
1389,5,0,0,4600000,11500000,16,668,1,25300000
1390,3,0,1,6100000,21300000,2,387,1,30600000
1391,0,0,1,1500000,4100000,12,789,1,12300000
1392,0,1,1,400000,900000,2,855,1,2100000
1393,0,0,0,8700000,33600000,14,751,1,50600000
1394,3,0,0,7000000,21600000,12,739,1,42100000
1395,4,1,0,4700000,13100000,14,492,0,26000000
1396,4,0,1,7600000,23800000,16,896,1,30000000
1397,1,0,1,9200000,24500000,4,545,0,59600000
1398,5,0,0,9400000,36800000,20,891,1,58700000
1399,0,1,0,4800000,15100000,6,848,1,23900000
1400,3,0,1,600000,2400000,12,884,1,3400000
1401,3,1,1,4900000,14300000,14,439,0,38400000
1402,3,1,1,3300000,8500000,12,586,1,24300000
1403,3,1,1,9100000,18800000,20,308,0,50000000
1404,5,1,0,6100000,23500000,16,300,0,28600000
1405,3,1,1,8400000,19600000,2,741,1,48700000
1406,4,1,0,7900000,31400000,8,698,1,61700000
1407,2,0,1,6100000,22300000,10,733,1,44600000
1408,3,0,1,2000000,4200000,16,571,1,12700000
1409,3,1,1,9900000,29900000,20,490,0,54100000
1410,2,0,0,9500000,25400000,16,451,0,67100000
1411,4,1,1,1900000,6800000,6,559,1,13200000
1412,4,1,1,6900000,21400000,10,577,1,35900000
1413,2,0,1,1500000,5000000,4,613,1,13000000
1414,4,0,0,1900000,3800000,20,785,1,9200000
1415,0,1,1,2300000,6000000,8,690,1,16400000
1416,2,0,0,7800000,17100000,14,351,0,52600000
1417,4,0,0,400000,1000000,10,447,0,1500000
1418,0,1,1,9400000,19200000,20,708,1,74100000
1419,2,1,0,9100000,21700000,12,549,0,83400000
1420,1,1,1,9000000,18800000,8,797,1,43900000
1421,4,0,0,7100000,14300000,14,537,0,48400000
1422,3,1,0,800000,2500000,12,828,1,3900000
1423,0,1,1,4500000,9600000,14,471,0,25500000
1424,5,1,0,8500000,25400000,4,336,0,49300000
1425,3,0,1,2500000,9800000,16,424,0,15000000
1426,2,1,0,1500000,3300000,18,440,0,7900000
1427,0,0,0,6200000,17300000,8,583,1,24500000
1428,1,0,1,1300000,2900000,6,480,0,7500000
1429,5,0,0,6600000,25800000,10,670,1,40900000
1430,0,1,1,5300000,13700000,6,329,0,30400000
1431,5,0,0,1400000,3000000,6,754,1,12900000
1432,2,0,1,2900000,7800000,18,588,1,16300000
1433,3,0,0,6500000,16500000,4,551,1,32200000
1434,3,1,0,8300000,18900000,4,316,0,59400000
1435,2,0,1,8900000,32200000,12,382,0,37200000
1436,3,1,0,5300000,15000000,6,717,1,33500000
1437,0,1,0,2800000,7300000,6,676,1,14600000
1438,1,0,0,8000000,27800000,6,667,1,51000000
1439,3,0,0,3900000,10500000,20,821,1,22800000
1440,0,1,0,6200000,20100000,20,345,0,36700000
1441,3,0,1,5900000,19200000,10,442,0,33000000
1442,1,1,1,6000000,23300000,12,672,1,39300000
1443,3,0,1,9100000,29300000,2,508,1,67600000
1444,5,1,1,3400000,12300000,10,615,1,23500000
1445,1,1,1,1800000,4400000,8,689,1,11100000
1446,1,1,0,300000,1200000,18,747,0,1000000
1447,1,1,1,9000000,22800000,10,412,0,52300000
1448,1,1,0,6400000,16900000,2,703,1,36900000
1449,5,0,0,5800000,22200000,16,884,1,34000000
1450,5,1,1,2600000,8600000,18,651,1,11500000
1451,4,0,0,6600000,17300000,14,793,1,39500000
1452,2,0,0,6100000,21800000,4,407,1,35900000
1453,2,0,0,4100000,11100000,8,390,0,17400000
1454,3,0,1,300000,1000000,12,469,0,2000000
1455,4,1,0,4700000,10400000,6,373,0,35100000
1456,4,1,1,1500000,5800000,2,304,1,8700000
1457,5,0,0,2700000,8300000,8,833,1,16000000
1458,2,1,0,6900000,20900000,2,302,1,65500000
1459,0,1,0,7600000,28700000,6,397,0,52600000
1460,1,1,0,4100000,10000000,6,891,1,21400000
1461,3,0,0,4100000,12200000,2,457,0,20200000
1462,4,0,0,1600000,3200000,16,657,1,7200000
1463,2,0,1,400000,1400000,2,480,1,2700000
1464,5,1,1,4400000,17300000,20,840,1,23900000
1465,2,0,1,3800000,8000000,12,866,1,16900000
1466,0,0,0,4300000,17000000,8,619,1,31700000
1467,1,1,1,9000000,33500000,2,748,1,54900000
1468,3,0,1,9500000,25500000,12,881,1,71600000
1469,2,1,1,6900000,13900000,8,829,1,49400000
1470,3,0,0,4300000,11100000,6,312,0,22000000
1471,3,0,0,6600000,21400000,10,467,0,46700000
1472,1,1,1,5200000,14300000,18,650,1,28900000
1473,3,1,1,400000,1100000,6,711,1,1900000
1474,4,0,0,1300000,4100000,18,886,1,7700000
1475,5,0,0,9700000,28400000,4,494,0,51700000
1476,2,1,1,5400000,10900000,14,741,1,33300000
1477,4,0,0,1200000,3300000,12,876,1,5300000
1478,0,1,1,7000000,26400000,14,610,1,33500000
1479,5,1,0,7600000,26000000,6,778,1,51700000
1480,5,1,1,700000,1800000,14,571,1,2900000
1481,3,1,1,7500000,25100000,18,554,1,53600000
1482,0,0,1,2300000,6200000,8,712,1,18800000
1483,5,0,1,5600000,11500000,4,695,1,36100000
1484,0,0,1,5400000,10900000,20,366,0,30000000
1485,1,0,1,1800000,5500000,10,426,0,14000000
1486,0,0,0,2900000,6900000,10,320,0,14800000
1487,3,0,1,1400000,4600000,8,543,0,7400000
1488,2,1,0,2800000,11000000,16,525,0,18200000
1489,0,0,1,3300000,13100000,12,812,1,21500000
1490,0,0,0,7000000,25300000,14,697,1,46500000
1491,1,0,0,3900000,15100000,12,527,0,30600000
1492,1,0,0,5700000,17200000,4,512,1,35700000
1493,0,1,0,4100000,9200000,4,671,1,25000000
1494,1,1,1,2200000,8700000,20,539,0,15800000
1495,5,0,0,2200000,7200000,10,532,0,12100000
1496,3,0,1,2500000,7700000,16,485,0,14400000
1497,0,0,1,900000,2100000,6,521,0,4600000
1498,1,0,0,2900000,7400000,10,874,1,15000000
1499,2,0,0,9800000,22900000,10,788,1,52800000
1500,2,0,0,5200000,14800000,12,659,1,38900000
1501,1,1,1,8600000,19600000,16,498,0,44100000
1502,2,1,1,4800000,13200000,20,310,0,33500000
1503,0,1,0,2000000,4700000,6,785,1,13100000
1504,0,1,0,3600000,8700000,10,309,0,19200000
1505,3,0,1,5300000,19600000,2,433,1,38400000
1506,1,0,1,400000,1300000,18,801,1,2200000
1507,3,1,1,6500000,22400000,6,488,0,57000000
1508,0,0,1,2300000,6000000,16,756,1,13700000
1509,3,1,0,1000000,2800000,4,757,1,7300000
1510,5,0,0,3200000,10100000,6,828,1,26200000
1511,3,1,1,3400000,7200000,12,733,1,17800000
1512,0,0,0,9600000,38200000,8,421,0,63100000
1513,3,0,0,5300000,20300000,4,872,1,37600000
1514,3,1,0,4700000,17400000,10,393,0,41700000
1515,3,1,0,9700000,37800000,12,700,1,57200000
1516,5,1,0,8800000,21600000,18,613,1,65900000
1517,5,1,0,5900000,13400000,6,455,0,42900000
1518,4,1,1,2400000,7100000,16,871,1,19300000
1519,4,1,1,7900000,21500000,16,497,0,38200000
1520,0,1,0,1400000,2700000,2,649,1,10200000
1521,0,1,1,3500000,10000000,14,709,1,21300000
1522,4,1,0,3400000,13500000,12,705,1,24300000
1523,2,1,0,6100000,23600000,2,476,1,33800000
1524,2,0,1,3000000,7100000,4,819,1,18300000
1525,5,0,1,3400000,9400000,16,535,0,24800000
1526,0,1,1,400000,1200000,14,889,1,2200000
1527,0,1,0,5900000,11800000,12,468,0,42800000
1528,5,1,1,400000,800000,2,759,1,2200000
1529,3,1,1,9000000,33600000,2,426,1,70400000
1530,0,1,1,8800000,23600000,8,712,1,42100000
1531,4,1,1,2000000,4700000,2,615,1,10300000
1532,2,1,0,4700000,14000000,12,784,1,37800000
1533,4,0,0,2700000,6100000,16,677,1,13700000
1534,1,0,0,2600000,7900000,12,306,0,15300000
1535,1,0,1,9000000,25400000,16,655,1,67100000
1536,4,0,0,5100000,19400000,8,755,1,22700000
1537,2,1,0,6600000,25800000,18,598,1,29200000
1538,2,1,0,4400000,9800000,18,712,1,20800000
1539,4,0,1,1500000,4600000,6,524,0,12100000
1540,1,0,0,6200000,23100000,16,838,1,41000000
1541,4,1,1,900000,2900000,6,560,1,6400000
1542,3,0,0,7700000,26400000,12,759,1,39000000
1543,2,1,1,600000,2400000,6,454,0,3300000
1544,4,0,0,4300000,16500000,4,539,1,28100000
1545,2,0,1,8200000,27800000,16,827,1,56900000
1546,0,0,0,3500000,11900000,12,686,1,21800000
1547,1,1,1,9900000,34100000,14,371,0,67000000
1548,5,1,0,700000,1900000,4,784,1,4200000
1549,1,1,1,2100000,7300000,16,826,1,14200000
1550,2,0,0,3200000,10500000,12,502,0,20300000
1551,0,1,0,2900000,7800000,8,367,0,15700000
1552,0,0,0,7000000,18300000,6,541,0,41800000
1553,1,1,0,3700000,13600000,16,608,1,18800000
1554,3,0,1,4500000,13100000,12,570,1,28400000
1555,3,1,0,200000,800000,18,752,1,900000
1556,5,0,1,5600000,20500000,8,873,1,42200000
1557,5,1,0,5400000,18600000,2,538,1,33200000
1558,4,0,0,300000,1000000,10,819,1,2100000
1559,1,1,1,7500000,29800000,18,770,1,43300000
1560,5,0,1,2500000,9600000,6,345,0,13200000
1561,4,1,1,3100000,8100000,12,730,1,24300000
1562,1,1,1,7600000,19300000,20,835,1,38300000
1563,3,0,1,500000,1700000,2,811,1,2600000
1564,2,0,0,2700000,5900000,14,662,1,15900000
1565,2,0,1,3500000,13300000,4,420,1,18400000
1566,5,0,0,3700000,11700000,4,413,1,28600000
1567,2,0,1,5600000,20000000,10,367,0,43800000
1568,5,0,1,4800000,16400000,14,390,0,24300000
1569,4,0,1,5200000,12200000,2,602,1,39300000
1570,3,1,0,2900000,11500000,16,843,1,19900000
1571,1,1,0,2700000,6800000,20,713,1,11800000
1572,3,1,0,5000000,16200000,8,591,1,24300000
1573,2,0,1,2700000,9400000,14,701,1,15600000
1574,4,0,1,2800000,10000000,12,655,1,20300000
1575,3,0,1,7300000,20000000,18,720,1,58200000
1576,0,1,1,5900000,15100000,10,794,1,30600000
1577,0,1,0,8100000,21300000,2,392,0,63300000
1578,3,1,1,1900000,7100000,6,583,1,11700000
1579,5,1,0,1800000,6800000,18,457,0,8500000
1580,0,0,1,7600000,17800000,14,570,1,58700000
1581,1,1,0,9100000,30100000,14,890,1,70200000
